,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,service,tunnel,area
9979,4645984719,206089631,0,471229378,True,,Pasir Ris Drive 3,primary,60,14.166,"LINESTRING (103.9562156 1.3754237, 103.9560888 1.375411)",,,,,,,
9980,4646059940,1840121915,0,173767804,True,2,Pasir Ris Drive 3,primary,60,86.318,"LINESTRING (103.9613897 1.3751661, 103.9621552 1.3750359)",,,,,,,
9981,4646059940,4646059944,0,470404955,True,,Pasir Ris Drive 4,tertiary,50,12.055,"LINESTRING (103.9613897 1.3751661, 103.9613631 1.375061)",,,,,,,
9982,4646059944,203245651,0,537636448,True,3,Pasir Ris Drive 3,primary,60,12.294,"LINESTRING (103.9613631 1.375061, 103.961254 1.3750791)",,,,,,,
9983,4646059944,6031496203,0,640232851,True,2,Pasir Ris Drive 4,tertiary,50,43.779,"LINESTRING (103.9613631 1.375061, 103.9612706 1.3746783)",,,,,,,
9984,4646059945,1845246603,0,74499807,False,3,Pasir Ris Street 21,residential,50,72.496,"LINESTRING (103.9609293 1.3732743, 103.9615583 1.3731021)",,,,,,,
9985,4646059945,1845246611,0,477957125,False,,Pasir Ris Street 21,residential,50,11.33,"LINESTRING (103.9609293 1.3732743, 103.9608295 1.373295)",,,,,,,
9986,4646059945,6139286867,0,655231227,True,2,Pasir Ris Drive 4,tertiary,50,69.565,"LINESTRING (103.9609293 1.3732743, 103.9607719 1.3726688)",,,,,,,
9987,4646059946,6031502545,0,640232849,True,2,Pasir Ris Drive 4,tertiary,50,14.069,"LINESTRING (103.9611837 1.374348, 103.9611571 1.3742243)",,,,,,,
9988,4646059947,6031496202,0,471229377,True,3,Pasir Ris Drive 4,tertiary,50,36.203,"LINESTRING (103.961089 1.3743682, 103.9611637 1.3746851)",,,,,,,
9989,4646059949,2232699806,0,640230893,True,2,Pasir Ris Drive 4,tertiary,50,28.582,"LINESTRING (103.9609656 1.3738567, 103.9610262 1.3741065)",,,,,,,
9990,4646059950,6031458018,0,640230888,True,2,Pasir Ris Drive 4,tertiary,50,21.584,"LINESTRING (103.9610631 1.3738295, 103.9610197 1.3736403)",,,,,,,
9991,4646059953,4646059963,0,639599828,True,2,Pasir Ris Drive 4,tertiary,50,10.024,"LINESTRING (103.9606366 1.3720633, 103.9606267 1.3719737)",,,,,,,
9992,4646059954,4646059962,0,639881748,True,2,Pasir Ris Drive 4,tertiary,50,36.053,"LINESTRING (103.9606119 1.3717556, 103.9606287 1.3714318)",,,,,,,
9993,4646059955,4646059970,0,639864333,True,2,Pasir Ris Drive 4,tertiary,50,19.796,"LINESTRING (103.9606477 1.3712488, 103.9606649 1.3710716)",,,,,,,
9994,4646059956,5148489806,0,655231578,True,2,Pasir Ris Drive 4,tertiary,50,15.268,"LINESTRING (103.9607377 1.3704959, 103.9607366 1.3703586)",,,,,,,
