,y,x,osmid,ref,railway,geometry
2274876348,1.3982851,103.9180847,2274876348,,,POINT (103.9180847 1.3982851)
2274876505,1.3984272,103.9179891,2274876505,,,POINT (103.9179891 1.3984272)
2274876620,1.3985665,103.9178542,2274876620,,,POINT (103.9178542 1.3985665)
2274876754,1.3986704,103.9068101,2274876754,,,POINT (103.9068101 1.3986704)
2274876853,1.3987082,103.9068521,2274876853,,,POINT (103.9068521 1.3987082)
2274877681,1.3990063,103.9172612,2274877681,,,POINT (103.9172612 1.3990063)
2274877959,1.3991203,103.9064012,2274877959,,,POINT (103.9064012 1.3991203)
2274878319,1.3992359,103.9170334,2274878319,,,POINT (103.9170334 1.3992359)
2274878487,1.3994036,103.9060328,2274878487,,,POINT (103.9060328 1.3994036)
2274878605,1.3994815,103.9165527,2274878605,,,POINT (103.9165527 1.3994815)
2274879233,1.399799,103.9054789,2274879233,,,POINT (103.9054789 1.399799)
2274879526,1.3999709,103.9158693,2274879526,,,POINT (103.9158693 1.3999709)
2274879651,1.4000502,103.9159226,2274879651,,,POINT (103.9159226 1.4000502)
2274879665,1.4000656,103.9049752,2274879665,,,POINT (103.9049752 1.4000656)
2274880211,1.4004905,103.9151945,2274880211,,,POINT (103.9151945 1.4004905)
2274880216,1.4005011,103.903986,2274880216,,,POINT (103.903986 1.4005011)
2274880250,1.4005395,103.9039999,2274880250,,,POINT (103.9039999 1.4005395)
2274881297,1.401414,103.902226,2274881297,,,POINT (103.902226 1.401414)
2274881393,1.401584,103.9018846,2274881393,,,POINT (103.9018846 1.401584)
2274881467,1.4017105,103.9134932,2274881467,,,POINT (103.9134932 1.4017105)
2274881651,1.4018583,103.9013526,2274881651,,,POINT (103.9013526 1.4018583)
2274881749,1.401959,103.9011377,2274881749,,,POINT (103.9011377 1.401959)
2274881770,1.4019832,103.9011864,2274881770,,,POINT (103.9011864 1.4019832)
2274881864,1.402139,103.9010666,2274881864,,,POINT (103.9010666 1.402139)
2274881889,1.4021767,103.9128156,2274881889,,,POINT (103.9128156 1.4021767)
2274881946,1.4022493,103.8999376,2274881946,,,POINT (103.8999376 1.4022493)
2274881959,1.4022694,103.9009367,2274881959,,,POINT (103.9009367 1.4022694)
2274881964,1.4022767,103.9006861,2274881964,,,POINT (103.9006861 1.4022767)
2274881970,1.4022859,103.9010086,2274881970,,,POINT (103.9010086 1.4022859)
2274882038,1.4023736,103.900219,2274882038,,,POINT (103.900219 1.4023736)
2274882056,1.4023973,103.900423,2274882056,,,POINT (103.900423 1.4023973)
2274882069,1.4024136,103.8999912,2274882069,,,POINT (103.8999912 1.4024136)
2274882091,1.4024404,103.9009867,2274882091,,,POINT (103.9009867 1.4024404)
2274882119,1.4024701,103.9006161,2274882119,,,POINT (103.9006161 1.4024701)
2274882141,1.4025029,103.8996596,2274882141,,,POINT (103.8996596 1.4025029)
2274882207,1.4025926,103.9009071,2274882207,,,POINT (103.9009071 1.4025926)
2274882210,1.4025949,103.9009932,2274882210,,,POINT (103.9009932 1.4025949)
2274882241,1.402634,103.900802,2274882241,,,POINT (103.900802 1.402634)
2274882337,1.4027366,103.9120296,2274882337,,,POINT (103.9120296 1.4027366)
2274882348,1.4027482,103.9010537,2274882348,,,POINT (103.9010537 1.4027482)
2274882410,1.4027797,103.9009723,2274882410,,,POINT (103.9009723 1.4027797)
2274882434,1.4028016,103.9009349,2274882434,,,POINT (103.9009349 1.4028016)
2274882440,1.4028062,103.9120932,2274882440,,,POINT (103.9120932 1.4028062)
2274882492,1.4028717,103.8986071,2274882492,,,POINT (103.8986071 1.4028717)
2274882650,1.4030588,103.8976765,2274882650,,,POINT (103.8976765 1.4030588)
2274882752,1.4031732,103.9114899,2274882752,,,POINT (103.9114899 1.4031732)
2274882753,1.4031748,103.8977422,2274882753,,,POINT (103.8977422 1.4031748)
2274882756,1.4031787,103.8973419,2274882756,,,POINT (103.8973419 1.4031787)
2274882786,1.4032048,103.9115091,2274882786,,,POINT (103.9115091 1.4032048)
2274882847,1.4032727,103.897463,2274882847,,,POINT (103.897463 1.4032727)
2274882862,1.4032959,103.8971268,2274882862,,,POINT (103.8971268 1.4032959)
2274882934,1.4033809,103.897235,2274882934,,,POINT (103.897235 1.4033809)
2274882961,1.4034221,103.8970018,2274882961,,,POINT (103.8970018 1.4034221)
2274883007,1.4034655,103.911066,2274883007,,,POINT (103.911066 1.4034655)
2274883080,1.4035715,103.8969052,2274883080,,,POINT (103.8969052 1.4035715)
2274883134,1.4036483,103.9016317,2274883134,,,POINT (103.9016317 1.4036483)
2274883267,1.4037466,103.8968382,2274883267,,,POINT (103.8968382 1.4037466)
2274883357,1.4037978,103.9014852,2274883357,,,POINT (103.9014852 1.4037978)
2274883438,1.4039372,103.9017148,2274883438,,,POINT (103.9017148 1.4039372)
2274883439,1.4039377,103.9016149,2274883439,,,POINT (103.9016149 1.4039377)
2274883456,1.4039758,103.8969103,2274883456,,,POINT (103.8969103 1.4039758)
2274883463,1.4039861,103.8968137,2274883463,,,POINT (103.8968137 1.4039861)
2274883603,1.4041883,103.8968498,2274883603,,,POINT (103.8968498 1.4041883)
2274883752,1.4043864,103.9019645,2274883752,,,POINT (103.9019645 1.4043864)
2274883772,1.4044217,103.9018835,2274883772,,,POINT (103.9018835 1.4044217)
2274883899,1.4046303,103.9019595,2274883899,,,POINT (103.9019595 1.4046303)
2274883917,1.4046635,103.9093817,2274883917,,,POINT (103.9093817 1.4046635)
2274884006,1.4048461,103.902302,2274884006,,,POINT (103.902302 1.4048461)
2274884034,1.4049804,103.8971667,2274884034,,,POINT (103.8971667 1.4049804)
2274884038,1.4049935,103.9020857,2274884038,,,POINT (103.9020857 1.4049935)
2274884044,1.4050049,103.8970791,2274884044,,,POINT (103.8970791 1.4050049)
2274884054,1.4050742,103.9087633,2274884054,,,POINT (103.9087633 1.4050742)
2274884080,1.4051552,103.9088171,2274884080,,,POINT (103.9088171 1.4051552)
2274884353,1.4055386,103.9081329,2274884353,,,POINT (103.9081329 1.4055386)
2274884357,1.4055467,103.9026898,2274884357,,,POINT (103.9026898 1.4055467)
2274884362,1.4055535,103.8973393,2274884362,,,POINT (103.8973393 1.4055535)
2274884379,1.4055792,103.8972466,2274884379,,,POINT (103.8972466 1.4055792)
2274884395,1.4056214,103.9081781,2274884395,,,POINT (103.9081781 1.4056214)
2274884573,1.405906,103.9027954,2274884573,,,POINT (103.9027954 1.405906)
2274884600,1.4060174,103.9027672,2274884600,,,POINT (103.9027672 1.4060174)
2274884602,1.4060223,103.8973899,2274884602,,,POINT (103.8973899 1.4060223)
2274884607,1.406034,103.9074971,2274884607,,,POINT (103.9074971 1.406034)
2274884681,1.4063676,103.9029617,2274884681,,,POINT (103.9029617 1.4063676)
2274884731,1.4065386,103.8975939,2274884731,,,POINT (103.8975939 1.4065386)
2274884738,1.4065871,103.9030218,2274884738,,,POINT (103.9030218 1.4065871)
2274884753,1.4066772,103.9030592,2274884753,,,POINT (103.9030592 1.4066772)
2274884762,1.4068067,103.9063761,2274884762,,,POINT (103.9063761 1.4068067)
2274884769,1.4068883,103.897767,2274884769,,,POINT (103.897767 1.4068883)
2274884770,1.4068965,103.8977315,2274884770,,,POINT (103.8977315 1.4068965)
2274884778,1.4069728,103.9060579,2274884778,,,POINT (103.9060579 1.4069728)
