,u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,ref,name,bridge,access,tunnel
164,242967064,3063328803,0,626803621,True,1,residential,50,21.424,"LINESTRING (103.8971816 1.3974339, 103.8973719 1.3974644)",,Compassvale Crescent,,,
165,242967168,3063328789,0,626803621,True,1,residential,50,10.294,"LINESTRING (103.8969572 1.3973194, 103.8970352 1.3973693)",,Compassvale Crescent,,,
166,242967182,3063328873,0,626857825,True,1,residential,50,21.223,"LINESTRING (103.8966888 1.3970644, 103.8968191 1.3972039)",,Compassvale Crescent,,,
167,242967203,5928296087,0,649391808,True,3,secondary,60,21.291,"LINESTRING (103.8945345 1.3929952, 103.8943537 1.3930584)",,Sengkang East Way,,,
168,242998157,369150261,0,536039209,True,4,primary,60,14.08,"LINESTRING (103.8914423 1.3865795, 103.891404 1.3864588)",,Sengkang East Road,,,
169,242998157,380602044,0,623718343,True,2,secondary,50,35.318,"LINESTRING (103.8914423 1.3865795, 103.8917599 1.3865881)",,Sengkang East Avenue,,,
170,242998704,4701778451,0,174886202,True,3,primary,60,34.644,"LINESTRING (103.8935135 1.3927166, 103.8934112 1.3924223)",,Sengkang East Road,,,
171,242998739,5952972947,0,32776560,True,3,primary,60,43.154,"LINESTRING (103.8958661 1.399419, 103.8957525 1.3990479)",,Sengkang East Road,,,
172,242998739,3600774306,0,391007734,True,3,motorway_link,50,14.651,"LINESTRING (103.8958661 1.399419, 103.8957367 1.399444)",,,,,
173,242999435,4598842438,0,476440467,True,5,primary,60,63.644,"LINESTRING (103.8909526 1.3856431, 103.8911566 1.3861779)",,Sengkang East Road,,,
174,242999681,375766316,0,174886200,True,4,primary,60,10.236,"LINESTRING (103.8928828 1.3912536, 103.8929123 1.3913408)",,Sengkang East Road,,,
175,250074521,6115500844,0,627980048,True,2,residential,50,18.585,"LINESTRING (103.8950718 1.3928003, 103.8949156 1.3927407)",,Sengkang Square,,,
176,250074521,242967203,0,655138269,True,3,secondary,60,63.538,"LINESTRING (103.8950718 1.3928003, 103.8945345 1.3929952)",,Sengkang East Way,,,
177,368890640,1736627860,0,620546648,True,3,primary,70,45.285,"LINESTRING (103.9125778 1.3898509, 103.9128689 1.3901358)",,Punggol East,,,
